location,sex,age,cause,metric,year,val,upper,lower
Peru,Both,Under 5,All causes,Number,2008,15671.08502,17446.08104,14147.68845
Peru,Male,Early Neonatal,All causes,Number,2008,3279.126835,3769.846447,2862.8161
Peru,Female,Early Neonatal,All causes,Number,2008,2248.267633,2596.633959,1955.70239
Peru,Both,Early Neonatal,All causes,Number,2008,5527.394468,6358.016833,4822.0142
Peru,Male,Late Neonatal,All causes,Number,2008,653.6795574,785.6075734,541.285056
Peru,Female,Late Neonatal,All causes,Number,2008,683.6792522,824.4304699,554.9856674
Peru,Both,Late Neonatal,All causes,Number,2008,1337.35881,1555.767719,1141.203633
Peru,Male,Post Neonatal,All causes,Number,2008,3229.145068,3802.701546,2758.723641
Peru,Female,Post Neonatal,All causes,Number,2008,2348.964254,2737.425295,2003.723161
Peru,Both,Post Neonatal,All causes,Number,2008,5578.109322,6524.454587,4775.559185
Peru,Male,1 to 4,All causes,Number,2008,1832.220763,2222.784771,1483.665249
Peru,Female,1 to 4,All causes,Number,2008,1396.001662,1693.063273,1137.978799
Peru,Both,1 to 4,All causes,Number,2008,3228.222425,3903.124671,2606.686233
Peru,Male,5 to 9,All causes,Number,2008,759.5083245,820.1936902,704.9234424
Peru,Female,5 to 9,All causes,Number,2008,526.29696,566.0328317,492.9073717
Peru,Both,5 to 9,All causes,Number,2008,1285.805285,1383.538701,1197.812117
Peru,Male,10 to 14,All causes,Number,2008,686.2745089,727.7862729,649.2845988
Peru,Female,10 to 14,All causes,Number,2008,487.1422273,518.2633581,456.9845439
Peru,Both,10 to 14,All causes,Number,2008,1173.416736,1236.306301,1117.797795
Peru,Male,15 to 19,All causes,Number,2008,1096.458221,1194.606442,1001.371831
Peru,Female,15 to 19,All causes,Number,2008,742.3238853,807.9862958,681.6650106
Peru,Both,15 to 19,All causes,Number,2008,1838.782106,1952.238205,1723.006552
